COD_WMO,UF,ESTACAO,LAT,LON,ALT,SOLAR_IRRAD_kwh_m2_dia,WIND_SPEED_ms,anos_disponiveis,dias_validos_total
A353,AL,ARAPIRACA,-9.80444444,-36.61916666,236.84,4.5299,2.1863,4,764
A355,AL,CORURIPE,-10.1286111,-36.28638888,82.39,4.5111,2.3077,4,1303
A303,AL,MACEIO,-9.55111111,-35.77027777,84.12,4.8287,2.4474,4,1409
A327,AL,PALMEIRA DOS INDIOS,-9.42027777,-36.62027777,278.01,4.6692,1.3826,4,1208
A323,AL,PAO DE ACUCAR,-9.74916666,-37.43083332,20.83,5.4434,1.5646,4,1164
A371,AL,PIRANHAS,-9.62222221,-37.76722221,187.0,5.0448,2.3472,4,1405
A356,AL,SAO LUIS DO QUITUNDE,-9.28749999,-35.56583333,13.69,3.8081,1.9451,4,799
A434,BA,AMARGOSA,-13.00944444,-39.61694443,397.8,4.1515,1.3079,4,1132
A429,BA,BARRA,-11.08472221,-43.13888888,407.5,5.4371,1.6717,4,1247
A402,BA,BARREIRAS,-12.12472221,-45.02694443,474.17,5.0762,0.2449,4,1461
A447,BA,BELMONTE,-16.08805555,-39.21527777,89.67,4.6195,1.5627,4,1162
A418,BA,BOM JESUS DA LAPA,-13.25111111,-43.40527777,447.75,5.1257,1.0664,4,828
A433,BA,BRUMADO,-14.18194443,-41.67222221,473.37,4.7485,1.5429,4,1416
A432,BA,BURITIRAMA,-10.72305554,-43.65111111,506.06,4.8416,2.0629,4,720
A405,BA,CARAVELAS,-17.73944444,-39.25861111,6.05,3.1177,3.0506,4,1142
A431,BA,CONDE,-12.03583333,-37.68388888,31.9,5.1098,3.2344,4,704
A416,BA,CORRENTINA,-13.33249999,-44.61749999,551.71,5.0238,1.4568,4,1413
A406,BA,CRUZ DAS ALMAS,-12.67555554,-39.08944444,219.76,4.466,1.7882,4,1321
A448,BA,CURACA,-9.00138888,-39.9125,370.0,4.6092,2.8665,4,806
A443,BA,DELFINO,-10.455,-41.20694444,646.24,3.4513,1.9873,4,850
A442,BA,EUCLIDES DA CUNHA,-10.537233,-38.996605,431.96,3.9726,2.8527,4,1181
A413,BA,FEIRA DE SANTANA,-12.1961111,-38.96749999,229.64,4.3302,2.4212,4,966
A452,BA,FORMOSA DO RIO PRETO,-11.05222222,-45.20083333,488.0,4.8413,1.2008,4,945
A426,BA,GUANAMBI,-14.20805555,-42.74972221,552.23,6.6207,3.644,4,1266
A439,BA,IBOTIRAMA,-12.19305555,-43.21333333,425.12,5.4694,1.3514,4,907
A410,BA,ILHEUS,-14.65888888,-39.18138888,80.21,4.3873,2.1415,4,1087
A445,BA,IPIAU,-14.17138888,-39.69249999,132.11,4.259,1.0391,4,757
A424,BA,IRECE,-11.328998,-41.864504,768.42,5.3046,2.6658,4,1461
A408,BA,ITABERABA,-12.52416666,-40.29972221,250.11,2.7297,1.7706,4,1403
A455,BA,ITAMARAJU,-17.00694444,-39.55805555,110.0,4.1676,2.6692,4,670
A446,BA,ITAPETINGA,-15.24472221,-40.22944443,271.48,4.5534,2.0006,4,1041
A407,BA,ITIRUCU,-13.527828,-40.119752,757.42,3.5047,1.6648,4,1043
A440,BA,JACOBINA,-11.205,-40.465,440.78,2.9159,1.7652,4,333
A450,BA,JEREMOABO,-10.08083332,-38.34583333,261.0,3.6369,2.554,4,830
A425,BA,LENCOIS,-12.557854,-41.388808,438.09,4.0211,0.6736,4,873
A404,BA,LUIZ EDUARDO MAGALHAES,-12.1525,-45.82972221,760.68,4.4065,2.1824,4,1130
A412,BA,MACAJUBA,-12.13166666,-40.35416666,338.85,4.0897,2.8851,4,175
A438,BA,MARAU,-13.90694444,-38.97222221,6.24,4.4975,1.7153,4,563
A430,BA,PIATA,-13.155681,-41.774125,1283.95,4.9039,2.7089,4,1050
A427,BA,PORTO SEGURO,-16.38888888,-39.18249999,86.36,4.0714,1.6027,4,751
