COD_WMO,UF,ESTACAO,LAT,LON,ALT,MES,SOLAR_IRRAD_kwh_m2_dia,WIND_SPEED_ms,dias_validos_solar,dias_validos_vento
A353,AL,ARAPIRACA,-9.80444444,-36.61916666,236.84,1,5.6442,2.6692,31,59
A353,AL,ARAPIRACA,-9.80444444,-36.61916666,236.84,2,5.1292,2.4511,29,53
A353,AL,ARAPIRACA,-9.80444444,-36.61916666,236.84,3,5.3453,2.3974,31,58
A353,AL,ARAPIRACA,-9.80444444,-36.61916666,236.84,4,4.6225,1.2919,30,30
A353,AL,ARAPIRACA,-9.80444444,-36.61916666,236.84,5,3.9384,1.1036,31,31
A353,AL,ARAPIRACA,-9.80444444,-36.61916666,236.84,6,2.9259,0.7416,56,57
A353,AL,ARAPIRACA,-9.80444444,-36.61916666,236.84,7,3.7705,1.0408,60,60
A353,AL,ARAPIRACA,-9.80444444,-36.61916666,236.84,8,3.7502,1.7777,50,44
A353,AL,ARAPIRACA,-9.80444444,-36.61916666,236.84,9,4.5992,1.9621,90,90
A353,AL,ARAPIRACA,-9.80444444,-36.61916666,236.84,10,5.5343,2.5821,84,93
A353,AL,ARAPIRACA,-9.80444444,-36.61916666,236.84,11,5.9395,3.0992,67,90
A353,AL,ARAPIRACA,-9.80444444,-36.61916666,236.84,12,5.537,3.0023,62,93
A355,AL,CORURIPE,-10.1286111,-36.28638888,82.39,1,5.0364,2.3973,93,93
A355,AL,CORURIPE,-10.1286111,-36.28638888,82.39,2,4.8132,2.1308,85,85
A355,AL,CORURIPE,-10.1286111,-36.28638888,82.39,3,4.8894,2.1187,93,93
A355,AL,CORURIPE,-10.1286111,-36.28638888,82.39,4,4.4728,1.9441,90,90
A355,AL,CORURIPE,-10.1286111,-36.28638888,82.39,5,3.6961,2.0431,93,93
A355,AL,CORURIPE,-10.1286111,-36.28638888,82.39,6,3.2146,2.2646,112,113
A355,AL,CORURIPE,-10.1286111,-36.28638888,82.39,7,3.6259,2.3593,124,124
A355,AL,CORURIPE,-10.1286111,-36.28638888,82.39,8,4.0647,2.3109,124,124
A355,AL,CORURIPE,-10.1286111,-36.28638888,82.39,9,4.4647,2.3699,120,120
A355,AL,CORURIPE,-10.1286111,-36.28638888,82.39,10,5.2668,2.4198,123,124
A355,AL,CORURIPE,-10.1286111,-36.28638888,82.39,11,5.3219,2.6162,120,120
A355,AL,CORURIPE,-10.1286111,-36.28638888,82.39,12,5.3048,2.4796,124,124
A303,AL,MACEIO,-9.55111111,-35.77027777,84.12,1,5.7142,2.8985,124,124
A303,AL,MACEIO,-9.55111111,-35.77027777,84.12,2,5.5605,2.5392,113,113
A303,AL,MACEIO,-9.55111111,-35.77027777,84.12,3,5.1551,2.2637,124,124
A303,AL,MACEIO,-9.55111111,-35.77027777,84.12,4,4.718,1.9499,120,120
A303,AL,MACEIO,-9.55111111,-35.77027777,84.12,5,3.8247,1.8702,124,124
