datetime_utc,hora,rad_kJm2,vento_ms
2023-01-01 00:00:00,0,,0.0
2023-01-01 01:00:00,1,,0.0
2023-01-01 02:00:00,2,,0.0
2023-01-01 03:00:00,3,,0.0
2023-01-01 04:00:00,4,,0.0
2023-01-01 05:00:00,5,,0.0
2023-01-01 06:00:00,6,,0.0
2023-01-01 07:00:00,7,,0.0
2023-01-01 08:00:00,8,,0.0
2023-01-01 09:00:00,9,64.9,0.0
2023-01-01 10:00:00,10,533.4,0.0
2023-01-01 11:00:00,11,1616.4,0.0
2023-01-01 12:00:00,12,1345.7,0.0
2023-01-01 13:00:00,13,1592.8,0.0
2023-01-01 14:00:00,14,3000.2,0.1
2023-01-01 15:00:00,15,2030.6,0.0
2023-01-01 16:00:00,16,1083.1,0.5
2023-01-01 17:00:00,17,708.8,0.0
2023-01-01 18:00:00,18,1339.9,0.0
2023-01-01 19:00:00,19,1428.8,0.0
2023-01-01 20:00:00,20,275.3,0.2
2023-01-01 21:00:00,21,23.7,0.3
2023-01-01 22:00:00,22,,0.0
2023-01-01 23:00:00,23,,0.0
2023-01-02 00:00:00,0,,0.1
2023-01-02 01:00:00,1,,0.0
2023-01-02 02:00:00,2,,0.1
2023-01-02 03:00:00,3,,0.0
2023-01-02 04:00:00,4,,0.0
2023-01-02 05:00:00,5,,0.1
2023-01-02 06:00:00,6,,0.0
2023-01-02 07:00:00,7,,0.0
2023-01-02 08:00:00,8,,0.1
2023-01-02 09:00:00,9,62.7,0.0
2023-01-02 10:00:00,10,370.8,0.0
2023-01-02 11:00:00,11,951.3,0.1
2023-01-02 12:00:00,12,1699.9,0.2
2023-01-02 13:00:00,13,2286.2,2.6
2023-01-02 14:00:00,14,1810.2,1.2
2023-01-02 15:00:00,15,2471.8,1.1
2023-01-02 16:00:00,16,3008.3,0.1
2023-01-02 17:00:00,17,3176.4,2.2
2023-01-02 18:00:00,18,1890.4,0.4
2023-01-02 19:00:00,19,1426.6,1.6
2023-01-02 20:00:00,20,466.2,0.7
2023-01-02 21:00:00,21,69.5,0.2
2023-01-02 22:00:00,22,,1.0
2023-01-02 23:00:00,23,,0.0
2023-01-03 00:00:00,0,,0.0
2023-01-03 01:00:00,1,,0.0
