datetime_utc,hora,rad_kJm2,vento_ms
2022-01-01 00:00:00,0,,0.2
2022-01-01 01:00:00,1,,0.6
2022-01-01 02:00:00,2,,0.2
2022-01-01 03:00:00,3,,0.4
2022-01-01 04:00:00,4,,0.3
2022-01-01 05:00:00,5,,0.5
2022-01-01 06:00:00,6,,0.3
2022-01-01 07:00:00,7,,0.9
2022-01-01 08:00:00,8,,0.8
2022-01-01 09:00:00,9,7.1,0.4
2022-01-01 10:00:00,10,162.5,0.8
2022-01-01 11:00:00,11,294.0,0.9
2022-01-01 12:00:00,12,532.5,1.1
2022-01-01 13:00:00,13,2130.9,1.8
2022-01-01 14:00:00,14,2129.4,1.6
2022-01-01 15:00:00,15,2508.8,1.9
2022-01-01 16:00:00,16,1824.1,1.6
2022-01-01 17:00:00,17,1350.0,1.6
2022-01-01 18:00:00,18,1181.9,1.0
2022-01-01 19:00:00,19,1286.2,1.3
2022-01-01 20:00:00,20,1073.9,1.6
2022-01-01 21:00:00,21,472.6,0.5
2022-01-01 22:00:00,22,8.4,0.5
2022-01-01 23:00:00,23,,0.5
2022-01-02 00:00:00,0,,0.8
2022-01-02 01:00:00,1,,2.0
2022-01-02 02:00:00,2,,1.0
2022-01-02 03:00:00,3,,0.7
2022-01-02 04:00:00,4,,0.6
2022-01-02 05:00:00,5,,1.7
2022-01-02 06:00:00,6,,0.9
2022-01-02 07:00:00,7,,0.6
2022-01-02 08:00:00,8,,0.7
2022-01-02 09:00:00,9,0.5,0.8
2022-01-02 10:00:00,10,52.9,0.4
2022-01-02 11:00:00,11,169.3,0.7
2022-01-02 12:00:00,12,635.7,1.2
2022-01-02 13:00:00,13,1439.3,1.3
2022-01-02 14:00:00,14,2494.2,1.8
2022-01-02 15:00:00,15,1744.7,1.2
2022-01-02 16:00:00,16,1725.1,2.7
2022-01-02 17:00:00,17,3213.8,2.7
2022-01-02 18:00:00,18,535.5,1.9
2022-01-02 19:00:00,19,337.1,3.0
2022-01-02 20:00:00,20,481.0,0.7
2022-01-02 21:00:00,21,151.2,1.9
2022-01-02 22:00:00,22,7.2,1.2
2022-01-02 23:00:00,23,,1.4
2022-01-03 00:00:00,0,,0.7
2022-01-03 01:00:00,1,,0.5
2022-01-03 02:00:00,2,,0.6
2022-01-03 03:00:00,3,,0.5
2022-01-03 04:00:00,4,,0.4
2022-01-03 05:00:00,5,,0.8
2022-01-03 06:00:00,6,,0.4
2022-01-03 07:00:00,7,,0.3
2022-01-03 08:00:00,8,,0.2
2022-01-03 09:00:00,9,12.8,0.6
2022-01-03 10:00:00,10,227.7,0.5
2022-01-03 11:00:00,11,501.1,0.8
2022-01-03 12:00:00,12,923.3,1.1
2022-01-03 13:00:00,13,2110.2,1.8
2022-01-03 14:00:00,14,3468.4,1.8
2022-01-03 15:00:00,15,2857.4,1.8
2022-01-03 16:00:00,16,2032.9,1.3
2022-01-03 17:00:00,17,704.2,0.7
2022-01-03 18:00:00,18,991.1,1.1
2022-01-03 19:00:00,19,2060.1,2.1
2022-01-03 20:00:00,20,837.7,3.2
2022-01-03 21:00:00,21,131.0,0.8
2022-01-03 22:00:00,22,2.8,0.5
2022-01-03 23:00:00,23,,0.3
2022-01-04 00:00:00,0,,0.5
2022-01-04 01:00:00,1,,1.1
2022-01-04 02:00:00,2,,1.8
2022-01-04 03:00:00,3,,1.3
2022-01-04 04:00:00,4,,0.5
2022-01-04 05:00:00,5,,0.8
2022-01-04 06:00:00,6,,0.3
2022-01-04 07:00:00,7,,0.5
2022-01-04 08:00:00,8,,0.3
2022-01-04 09:00:00,9,5.1,0.2
2022-01-04 10:00:00,10,113.3,0.4
2022-01-04 11:00:00,11,421.7,1.1
2022-01-04 12:00:00,12,834.7,2.0
2022-01-04 13:00:00,13,1546.3,2.2
2022-01-04 14:00:00,14,3208.8,2.2
2022-01-04 15:00:00,15,1431.5,1.7
2022-01-04 16:00:00,16,1541.4,1.9
2022-01-04 17:00:00,17,1162.6,1.8
2022-01-04 18:00:00,18,152.6,2.2
2022-01-04 19:00:00,19,38.1,1.4
2022-01-04 20:00:00,20,28.8,1.1
2022-01-04 21:00:00,21,43.1,1.1
2022-01-04 22:00:00,22,12.4,1.4
2022-01-04 23:00:00,23,,0.5
2022-01-05 00:00:00,0,,0.4
2022-01-05 01:00:00,1,,0.4
2022-01-05 02:00:00,2,,0.6
2022-01-05 03:00:00,3,,0.5
2022-01-05 04:00:00,4,,0.3
2022-01-05 05:00:00,5,,1.0
2022-01-05 06:00:00,6,,0.5
2022-01-05 07:00:00,7,,0.2
2022-01-05 08:00:00,8,,0.5
2022-01-05 09:00:00,9,10.5,0.3
2022-01-05 10:00:00,10,310.2,0.5
2022-01-05 11:00:00,11,721.0,0.9
2022-01-05 12:00:00,12,1568.8,1.8
2022-01-05 13:00:00,13,2421.4,1.2
2022-01-05 14:00:00,14,2873.9,2.1
2022-01-05 15:00:00,15,3723.6,2.5
2022-01-05 16:00:00,16,3474.1,5.2
2022-01-05 17:00:00,17,2803.2,2.8
2022-01-05 18:00:00,18,1960.3,2.2
2022-01-05 19:00:00,19,1720.5,1.8
2022-01-05 20:00:00,20,536.8,1.4
2022-01-05 21:00:00,21,247.1,0.9
2022-01-05 22:00:00,22,17.5,0.7
2022-01-05 23:00:00,23,,0.7
2022-01-06 00:00:00,0,,0.9
2022-01-06 01:00:00,1,,0.4
2022-01-06 02:00:00,2,,0.5
2022-01-06 03:00:00,3,,0.6
2022-01-06 04:00:00,4,,0.6
2022-01-06 05:00:00,5,,0.3
2022-01-06 06:00:00,6,,0.3
2022-01-06 07:00:00,7,,0.2
2022-01-06 08:00:00,8,,0.3
2022-01-06 09:00:00,9,1.7,0.4
2022-01-06 10:00:00,10,116.3,0.4
2022-01-06 11:00:00,11,316.5,1.8
2022-01-06 12:00:00,12,127.4,1.2
2022-01-06 13:00:00,13,315.6,1.9
2022-01-06 14:00:00,14,1559.7,2.0
2022-01-06 15:00:00,15,2961.8,2.7
2022-01-06 16:00:00,16,2087.1,3.6
2022-01-06 17:00:00,17,2023.7,2.8
2022-01-06 18:00:00,18,3085.8,2.7
2022-01-06 19:00:00,19,1231.0,2.5
2022-01-06 20:00:00,20,624.5,1.1
2022-01-06 21:00:00,21,259.7,0.7
2022-01-06 22:00:00,22,21.0,0.6
2022-01-06 23:00:00,23,,0.4
2022-01-07 00:00:00,0,,0.7
2022-01-07 01:00:00,1,,0.3
2022-01-07 02:00:00,2,,0.7
2022-01-07 03:00:00,3,,0.4
2022-01-07 04:00:00,4,,0.2
2022-01-07 05:00:00,5,,0.6
2022-01-07 06:00:00,6,,0.5
2022-01-07 07:00:00,7,,0.5
2022-01-07 08:00:00,8,,0.1
2022-01-07 09:00:00,9,9.0,0.2
2022-01-07 10:00:00,10,376.5,1.0
2022-01-07 11:00:00,11,1310.8,1.9
2022-01-07 12:00:00,12,1815.9,3.1
2022-01-07 13:00:00,13,2450.1,3.2
2022-01-07 14:00:00,14,2815.1,3.9
2022-01-07 15:00:00,15,3518.2,2.6
2022-01-07 16:00:00,16,2383.7,3.4
2022-01-07 17:00:00,17,3006.5,3.1
2022-01-07 18:00:00,18,1825.6,3.5
2022-01-07 19:00:00,19,990.7,3.2
2022-01-07 20:00:00,20,533.8,1.7
2022-01-07 21:00:00,21,105.7,2.3
2022-01-07 22:00:00,22,1.2,1.4
2022-01-07 23:00:00,23,,0.7
2022-01-08 00:00:00,0,,1.2
2022-01-08 01:00:00,1,,0.7
2022-01-08 02:00:00,2,,0.7
2022-01-08 03:00:00,3,0.4,4.2
2022-01-08 04:00:00,4,,0.5
2022-01-08 05:00:00,5,,0.6
2022-01-08 06:00:00,6,,0.9
2022-01-08 07:00:00,7,,0.4
2022-01-08 08:00:00,8,,0.4
2022-01-08 09:00:00,9,2.6,0.8
2022-01-08 10:00:00,10,123.9,0.4
2022-01-08 11:00:00,11,583.3,1.1
2022-01-08 12:00:00,12,1343.1,1.3
2022-01-08 13:00:00,13,2040.7,1.7
