datetime_utc,hora,rad_kJm2,vento_ms
2023-01-01 00:00:00,0,,5.0
2023-01-01 01:00:00,1,,2.6
2023-01-01 02:00:00,2,,0.9
2023-01-01 03:00:00,3,,1.7
2023-01-01 04:00:00,4,,1.8
2023-01-01 05:00:00,5,,1.6
2023-01-01 06:00:00,6,,2.5
2023-01-01 07:00:00,7,,1.7
2023-01-01 08:00:00,8,73.6,2.0
2023-01-01 09:00:00,9,453.7,2.4
2023-01-01 10:00:00,10,1355.2,3.4
2023-01-01 11:00:00,11,1735.4,4.1
2023-01-01 12:00:00,12,1823.9,3.8
2023-01-01 13:00:00,13,2708.7,3.2
2023-01-01 14:00:00,14,2357.6,3.7
2023-01-01 15:00:00,15,2594.4,4.9
2023-01-01 16:00:00,16,3105.1,4.9
2023-01-01 17:00:00,17,2248.7,4.7
2023-01-01 18:00:00,18,1939.6,4.6
2023-01-01 19:00:00,19,1109.3,5.2
2023-01-01 20:00:00,20,222.1,3.7
2023-01-01 21:00:00,21,,5.1
2023-01-01 22:00:00,22,,4.1
2023-01-01 23:00:00,23,,4.6
2023-01-02 00:00:00,0,,3.6
2023-01-02 01:00:00,1,,3.0
2023-01-02 02:00:00,2,,2.5
2023-01-02 03:00:00,3,,3.2
2023-01-02 04:00:00,4,,3.8
2023-01-02 05:00:00,5,,2.8
2023-01-02 06:00:00,6,,3.0
2023-01-02 07:00:00,7,,2.5
2023-01-02 08:00:00,8,16.8,2.8
2023-01-02 09:00:00,9,213.6,3.6
2023-01-02 10:00:00,10,498.1,3.9
2023-01-02 11:00:00,11,921.3,3.8
2023-01-02 12:00:00,12,1094.7,3.4
2023-01-02 13:00:00,13,2725.2,4.3
2023-01-02 14:00:00,14,3193.9,3.7
2023-01-02 15:00:00,15,631.4,1.8
2023-01-02 16:00:00,16,2954.4,4.6
2023-01-02 17:00:00,17,2039.3,4.0
2023-01-02 18:00:00,18,1019.8,3.4
2023-01-02 19:00:00,19,560.1,3.6
2023-01-02 20:00:00,20,110.0,2.8
2023-01-02 21:00:00,21,,3.0
2023-01-02 22:00:00,22,,3.5
2023-01-02 23:00:00,23,,3.7
2023-01-03 00:00:00,0,,4.1
2023-01-03 01:00:00,1,,4.2
2023-01-03 02:00:00,2,,3.4
2023-01-03 03:00:00,3,,3.3
2023-01-03 04:00:00,4,,3.3
2023-01-03 05:00:00,5,,3.7
2023-01-03 06:00:00,6,,3.5
2023-01-03 07:00:00,7,,3.2
2023-01-03 08:00:00,8,15.7,4.3
2023-01-03 09:00:00,9,226.5,3.5
2023-01-03 10:00:00,10,287.7,3.1
2023-01-03 11:00:00,11,372.6,2.6
2023-01-03 12:00:00,12,1682.1,2.5
2023-01-03 13:00:00,13,2055.3,3.8
2023-01-03 14:00:00,14,1178.0,2.4
2023-01-03 15:00:00,15,1369.6,1.7
2023-01-03 16:00:00,16,1693.2,2.6
2023-01-03 17:00:00,17,848.1,1.2
2023-01-03 18:00:00,18,891.1,3.2
2023-01-03 19:00:00,19,966.3,4.5
2023-01-03 20:00:00,20,243.1,3.9
2023-01-03 21:00:00,21,,3.3
2023-01-03 22:00:00,22,,3.4
2023-01-03 23:00:00,23,,4.0
2023-01-04 00:00:00,0,,2.3
2023-01-04 01:00:00,1,,3.3
2023-01-04 02:00:00,2,,4.0
2023-01-04 03:00:00,3,,4.0
2023-01-04 04:00:00,4,,3.9
2023-01-04 05:00:00,5,,3.4
2023-01-04 06:00:00,6,,3.0
2023-01-04 07:00:00,7,,3.2
