datetime_utc,hora,rad_kJm2,vento_ms
2024-01-01 00:00:00,0,,1.8
2024-01-01 01:00:00,1,0.2,1.6
2024-01-01 02:00:00,2,0.5,3.5
2024-01-01 03:00:00,3,0.6,2.0
2024-01-01 04:00:00,4,,1.6
2024-01-01 05:00:00,5,,1.8
2024-01-01 06:00:00,6,,1.0
2024-01-01 07:00:00,7,,1.0
2024-01-01 08:00:00,8,,1.1
2024-01-01 09:00:00,9,14.4,0.9
2024-01-01 10:00:00,10,106.8,0.8
2024-01-01 11:00:00,11,483.0,1.9
2024-01-01 12:00:00,12,1264.9,1.3
2024-01-01 13:00:00,13,829.9,0.9
2024-01-01 14:00:00,14,1384.6,0.7
2024-01-01 15:00:00,15,1345.2,1.4
2024-01-01 16:00:00,16,707.2,1.5
2024-01-01 17:00:00,17,2952.5,1.8
2024-01-01 18:00:00,18,984.2,2.1
2024-01-01 19:00:00,19,74.8,1.5
2024-01-01 20:00:00,20,7.6,2.5
2024-01-01 21:00:00,21,3.5,0.6
2024-01-01 22:00:00,22,,1.1
2024-01-01 23:00:00,23,,1.0
2024-01-02 00:00:00,0,,0.7
2024-01-02 01:00:00,1,0.1,1.2
2024-01-02 02:00:00,2,,0.7
2024-01-02 03:00:00,3,,2.6
2024-01-02 04:00:00,4,0.2,1.8
2024-01-02 05:00:00,5,0.0,1.0
2024-01-02 06:00:00,6,,1.3
2024-01-02 07:00:00,7,,1.3
2024-01-02 08:00:00,8,,1.2
2024-01-02 09:00:00,9,66.7,1.0
2024-01-02 10:00:00,10,226.5,1.8
2024-01-02 11:00:00,11,756.5,2.6
2024-01-02 12:00:00,12,1647.9,3.1
2024-01-02 13:00:00,13,2214.6,1.1
2024-01-02 14:00:00,14,2880.5,3.1
2024-01-02 15:00:00,15,2044.9,1.7
2024-01-02 16:00:00,16,2094.8,2.5
2024-01-02 17:00:00,17,1943.2,2.2
2024-01-02 18:00:00,18,2017.0,2.1
2024-01-02 19:00:00,19,1622.7,2.3
2024-01-02 20:00:00,20,503.4,3.2
2024-01-02 21:00:00,21,75.3,3.2
2024-01-02 22:00:00,22,1.5,4.8
2024-01-02 23:00:00,23,0.8,3.6
2024-01-03 00:00:00,0,0.0,3.4
2024-01-03 01:00:00,1,,2.3
2024-01-03 02:00:00,2,0.5,3.4
2024-01-03 03:00:00,3,,3.1
2024-01-03 04:00:00,4,,4.1
2024-01-03 05:00:00,5,,3.5
2024-01-03 06:00:00,6,0.1,3.1
2024-01-03 07:00:00,7,0.4,2.4
2024-01-03 08:00:00,8,0.8,3.4
2024-01-03 09:00:00,9,38.7,2.7
2024-01-03 10:00:00,10,313.7,3.4
2024-01-03 11:00:00,11,773.8,4.0
2024-01-03 12:00:00,12,1835.2,3.2
2024-01-03 13:00:00,13,1663.3,2.6
2024-01-03 14:00:00,14,2204.4,2.8
2024-01-03 15:00:00,15,2616.6,2.7
2024-01-03 16:00:00,16,2971.3,1.8
2024-01-03 17:00:00,17,3188.9,1.5
2024-01-03 18:00:00,18,1477.7,3.1
2024-01-03 19:00:00,19,1296.4,2.4
2024-01-03 20:00:00,20,429.4,3.2
2024-01-03 21:00:00,21,26.5,2.4
2024-01-03 22:00:00,22,,2.6
2024-01-03 23:00:00,23,1.0,2.8
2024-01-04 00:00:00,0,0.1,2.6
2024-01-04 01:00:00,1,0.5,2.0
2024-01-04 02:00:00,2,,1.1
2024-01-04 03:00:00,3,,3.5
2024-01-04 04:00:00,4,,1.7
2024-01-04 05:00:00,5,,2.4
2024-01-04 06:00:00,6,,1.7
2024-01-04 07:00:00,7,0.2,2.4
2024-01-04 08:00:00,8,,1.7
2024-01-04 09:00:00,9,52.2,1.8
2024-01-04 10:00:00,10,375.3,2.5
2024-01-04 11:00:00,11,716.6,2.7
2024-01-04 12:00:00,12,1125.8,2.7
2024-01-04 13:00:00,13,2084.8,2.5
2024-01-04 14:00:00,14,3544.8,1.6
2024-01-04 15:00:00,15,2970.1,3.1
2024-01-04 16:00:00,16,3579.8,2.1
2024-01-04 17:00:00,17,3111.7,2.9
2024-01-04 18:00:00,18,2857.5,2.1
2024-01-04 19:00:00,19,1740.8,2.2
2024-01-04 20:00:00,20,711.7,2.2
2024-01-04 21:00:00,21,70.8,2.9
2024-01-04 22:00:00,22,,2.1
2024-01-04 23:00:00,23,,3.8
2024-01-05 00:00:00,0,,2.2
2024-01-05 01:00:00,1,,1.9
2024-01-05 02:00:00,2,0.4,2.0
2024-01-05 03:00:00,3,,1.8
2024-01-05 04:00:00,4,0.1,1.6
2024-01-05 05:00:00,5,,1.5
2024-01-05 06:00:00,6,,2.3
2024-01-05 07:00:00,7,,2.4
2024-01-05 08:00:00,8,0.4,1.7
2024-01-05 09:00:00,9,62.1,3.2
2024-01-05 10:00:00,10,311.8,3.1
2024-01-05 11:00:00,11,686.8,3.1
2024-01-05 12:00:00,12,1652.3,2.4
2024-01-05 13:00:00,13,3173.8,2.0
2024-01-05 14:00:00,14,3798.8,1.4
2024-01-05 15:00:00,15,3674.5,2.5
2024-01-05 16:00:00,16,3463.1,1.8
2024-01-05 17:00:00,17,3416.8,1.5
2024-01-05 18:00:00,18,2720.7,1.6
2024-01-05 19:00:00,19,1876.6,1.3
2024-01-05 20:00:00,20,641.1,1.4
2024-01-05 21:00:00,21,83.5,1.6
2024-01-05 22:00:00,22,,2.0
2024-01-05 23:00:00,23,,1.7
2024-01-06 00:00:00,0,,1.6
2024-01-06 01:00:00,1,,1.9
2024-01-06 02:00:00,2,,2.6
2024-01-06 03:00:00,3,0.1,1.9
2024-01-06 04:00:00,4,,1.4
2024-01-06 05:00:00,5,,1.2
2024-01-06 06:00:00,6,,1.6
2024-01-06 07:00:00,7,,1.3
2024-01-06 08:00:00,8,,1.3
2024-01-06 09:00:00,9,39.6,1.6
2024-01-06 10:00:00,10,342.9,3.3
2024-01-06 11:00:00,11,584.0,2.3
2024-01-06 12:00:00,12,1501.7,1.6
2024-01-06 13:00:00,13,2454.9,1.5
2024-01-06 14:00:00,14,3792.0,2.2
2024-01-06 15:00:00,15,3858.7,2.0
2024-01-06 16:00:00,16,3600.8,2.2
2024-01-06 17:00:00,17,3292.7,2.0
2024-01-06 18:00:00,18,2671.1,1.9
2024-01-06 19:00:00,19,1855.7,1.8
2024-01-06 20:00:00,20,683.3,1.8
2024-01-06 21:00:00,21,51.9,2.5
2024-01-06 22:00:00,22,,1.1
2024-01-06 23:00:00,23,,1.2
2024-01-07 00:00:00,0,,1.2
2024-01-07 01:00:00,1,,0.9
2024-01-07 02:00:00,2,,1.3
2024-01-07 03:00:00,3,,1.1
2024-01-07 04:00:00,4,,1.4
2024-01-07 05:00:00,5,,1.1
2024-01-07 06:00:00,6,,1.0
2024-01-07 07:00:00,7,,1.0
2024-01-07 08:00:00,8,,1.8
2024-01-07 09:00:00,9,68.1,2.0
2024-01-07 10:00:00,10,357.0,1.9
2024-01-07 11:00:00,11,608.6,2.8
2024-01-07 12:00:00,12,1738.5,2.5
2024-01-07 13:00:00,13,3236.6,1.7
2024-01-07 14:00:00,14,3971.4,1.7
2024-01-07 15:00:00,15,4206.4,2.0
2024-01-07 16:00:00,16,3949.1,1.6
2024-01-07 17:00:00,17,3381.6,1.9
2024-01-07 18:00:00,18,2691.6,1.4
2024-01-07 19:00:00,19,1868.7,1.3
2024-01-07 20:00:00,20,652.2,2.2
2024-01-07 21:00:00,21,48.9,2.7
2024-01-07 22:00:00,22,,0.7
2024-01-07 23:00:00,23,,1.3
2024-01-08 00:00:00,0,,2.3
2024-01-08 01:00:00,1,,3.2
2024-01-08 02:00:00,2,,2.5
2024-01-08 03:00:00,3,,4.1
2024-01-08 04:00:00,4,,2.9
2024-01-08 05:00:00,5,,2.1
2024-01-08 06:00:00,6,,2.4
2024-01-08 07:00:00,7,,2.0
2024-01-08 08:00:00,8,,2.0
2024-01-08 09:00:00,9,69.6,1.1
2024-01-08 10:00:00,10,230.6,2.8
2024-01-08 11:00:00,11,672.0,3.1
2024-01-08 12:00:00,12,1643.0,4.2
2024-01-08 13:00:00,13,1911.4,1.9
2024-01-08 14:00:00,14,2444.7,3.4
2024-01-08 15:00:00,15,2974.5,3.8
2024-01-08 16:00:00,16,3060.9,3.1
2024-01-08 17:00:00,17,2976.8,2.4
2024-01-08 18:00:00,18,2884.5,3.0
2024-01-08 19:00:00,19,1789.4,2.6
2024-01-08 20:00:00,20,783.6,1.4
2024-01-08 21:00:00,21,74.0,2.6
2024-01-08 22:00:00,22,,3.3
2024-01-08 23:00:00,23,,3.0
2024-01-09 00:00:00,0,,2.1
2024-01-09 01:00:00,1,0.5,1.7
2024-01-09 02:00:00,2,,1.3
2024-01-09 03:00:00,3,,1.4
2024-01-09 04:00:00,4,,2.8
2024-01-09 05:00:00,5,,2.5
2024-01-09 06:00:00,6,,2.5
2024-01-09 07:00:00,7,,2.5
2024-01-09 08:00:00,8,,2.4
2024-01-09 09:00:00,9,38.9,2.6
2024-01-09 10:00:00,10,317.4,2.8
2024-01-09 11:00:00,11,577.7,2.7
2024-01-09 12:00:00,12,1341.2,2.9
2024-01-09 13:00:00,13,2804.4,2.8
2024-01-09 14:00:00,14,1908.2,2.4
2024-01-09 15:00:00,15,1419.0,1.0
2024-01-09 16:00:00,16,2459.1,0.9
2024-01-09 17:00:00,17,2221.9,1.4
2024-01-09 18:00:00,18,1680.9,1.3
2024-01-09 19:00:00,19,1728.5,2.8
2024-01-09 20:00:00,20,711.8,2.5
2024-01-09 21:00:00,21,44.7,2.8
2024-01-09 22:00:00,22,,1.5
2024-01-09 23:00:00,23,,1.2
2024-01-10 00:00:00,0,0.3,1.6
2024-01-10 01:00:00,1,,1.7
2024-01-10 02:00:00,2,,1.3
2024-01-10 03:00:00,3,,1.6
2024-01-10 04:00:00,4,,1.1
2024-01-10 05:00:00,5,,1.1
2024-01-10 06:00:00,6,,2.1
2024-01-10 07:00:00,7,0.2,2.1
2024-01-10 08:00:00,8,0.3,1.8
2024-01-10 09:00:00,9,44.5,0.7
2024-01-10 10:00:00,10,334.0,2.4
2024-01-10 11:00:00,11,770.5,2.6
2024-01-10 12:00:00,12,1228.4,2.2
2024-01-10 13:00:00,13,2230.8,1.3
2024-01-10 14:00:00,14,2233.9,1.0
2024-01-10 15:00:00,15,3511.0,1.6
2024-01-10 16:00:00,16,1764.1,1.7
2024-01-10 17:00:00,17,2287.2,1.6
2024-01-10 18:00:00,18,384.6,2.0
2024-01-10 19:00:00,19,1053.8,3.0
2024-01-10 20:00:00,20,453.5,2.4
2024-01-10 21:00:00,21,64.5,2.9
2024-01-10 22:00:00,22,,3.2
2024-01-10 23:00:00,23,,1.3
2024-01-11 00:00:00,0,,1.1
2024-01-11 01:00:00,1,,1.3
2024-01-11 02:00:00,2,,1.3
2024-01-11 03:00:00,3,,0.9
2024-01-11 04:00:00,4,,1.1
2024-01-11 05:00:00,5,,0.7
2024-01-11 06:00:00,6,,1.7
2024-01-11 07:00:00,7,0.9,3.0
2024-01-11 08:00:00,8,1.1,3.3
2024-01-11 09:00:00,9,54.4,2.8
2024-01-11 10:00:00,10,327.1,3.2
2024-01-11 11:00:00,11,766.4,1.9
2024-01-11 12:00:00,12,1003.6,1.5
2024-01-11 13:00:00,13,1448.4,1.7
2024-01-11 14:00:00,14,2021.3,1.3
2024-01-11 15:00:00,15,2547.3,2.0
2024-01-11 16:00:00,16,2679.6,1.6
2024-01-11 17:00:00,17,2766.7,1.7
2024-01-11 18:00:00,18,1174.5,3.0
2024-01-11 19:00:00,19,700.2,1.9
2024-01-11 20:00:00,20,371.9,1.9
2024-01-11 21:00:00,21,16.1,1.5
2024-01-11 22:00:00,22,,3.6
2024-01-11 23:00:00,23,,1.0
2024-01-12 00:00:00,0,,1.5
2024-01-12 01:00:00,1,,1.3
2024-01-12 02:00:00,2,,0.4
2024-01-12 03:00:00,3,,1.1
2024-01-12 04:00:00,4,,1.4
2024-01-12 05:00:00,5,,1.5
2024-01-12 06:00:00,6,,2.5
2024-01-12 07:00:00,7,,2.0
2024-01-12 08:00:00,8,,1.0
2024-01-12 09:00:00,9,58.5,0.9
2024-01-12 10:00:00,10,485.1,0.8
2024-01-12 11:00:00,11,529.0,1.2
2024-01-12 12:00:00,12,1699.5,1.6
2024-01-12 13:00:00,13,3328.7,2.3
2024-01-12 14:00:00,14,3880.4,1.8
2024-01-12 15:00:00,15,3716.6,1.9
2024-01-12 16:00:00,16,3462.2,1.6
2024-01-12 17:00:00,17,3323.9,2.0
2024-01-12 18:00:00,18,2727.7,1.9
2024-01-12 19:00:00,19,1918.8,2.4
2024-01-12 20:00:00,20,745.5,2.5
2024-01-12 21:00:00,21,52.3,2.5
2024-01-12 22:00:00,22,,3.0
2024-01-12 23:00:00,23,,3.1
2024-01-13 00:00:00,0,,1.7
2024-01-13 01:00:00,1,,1.9
2024-01-13 02:00:00,2,,1.4
2024-01-13 03:00:00,3,,1.1
2024-01-13 04:00:00,4,,1.2
2024-01-13 05:00:00,5,,0.9
2024-01-13 06:00:00,6,,1.1
2024-01-13 07:00:00,7,,0.9
2024-01-13 08:00:00,8,,1.0
2024-01-13 09:00:00,9,63.2,0.9
2024-01-13 10:00:00,10,355.9,0.9
2024-01-13 11:00:00,11,720.8,2.0
2024-01-13 12:00:00,12,1306.3,1.9
2024-01-13 13:00:00,13,1388.0,1.6
2024-01-13 14:00:00,14,1016.3,1.2
2024-01-13 15:00:00,15,767.2,4.0
2024-01-13 16:00:00,16,407.0,2.6
2024-01-13 17:00:00,17,1111.5,1.6
2024-01-13 18:00:00,18,1770.8,1.1
2024-01-13 19:00:00,19,1868.3,1.8
2024-01-13 20:00:00,20,606.6,1.8
2024-01-13 21:00:00,21,77.3,1.7
2024-01-13 22:00:00,22,,2.8
2024-01-13 23:00:00,23,,1.9
2024-01-14 00:00:00,0,,0.9
2024-01-14 01:00:00,1,,1.3
2024-01-14 02:00:00,2,,1.3
2024-01-14 03:00:00,3,0.0,1.3
2024-01-14 04:00:00,4,0.3,1.9
2024-01-14 05:00:00,5,0.3,1.2
2024-01-14 06:00:00,6,0.6,1.4
2024-01-14 07:00:00,7,,1.2
2024-01-14 08:00:00,8,0.8,2.0
2024-01-14 09:00:00,9,42.8,1.9
2024-01-14 10:00:00,10,239.4,3.5
2024-01-14 11:00:00,11,483.9,2.9
2024-01-14 12:00:00,12,1119.2,2.5
2024-01-14 13:00:00,13,2967.0,3.2
2024-01-14 14:00:00,14,2731.7,3.6
2024-01-14 15:00:00,15,2219.4,3.2
2024-01-14 16:00:00,16,3104.9,3.4
2024-01-14 17:00:00,17,1926.2,1.7
2024-01-14 18:00:00,18,1541.6,2.1
2024-01-14 19:00:00,19,811.0,2.2
2024-01-14 20:00:00,20,497.8,3.1
2024-01-14 21:00:00,21,85.8,3.6
2024-01-14 22:00:00,22,,2.3
2024-01-14 23:00:00,23,,1.6
2024-01-15 00:00:00,0,,1.6
2024-01-15 01:00:00,1,,1.7
2024-01-15 02:00:00,2,,1.7
2024-01-15 03:00:00,3,,1.2
2024-01-15 04:00:00,4,,1.2
2024-01-15 05:00:00,5,,1.3
2024-01-15 06:00:00,6,,2.2
2024-01-15 07:00:00,7,,2.7
2024-01-15 08:00:00,8,,1.3
2024-01-15 09:00:00,9,52.7,2.0
2024-01-15 10:00:00,10,284.2,1.4
2024-01-15 11:00:00,11,680.6,1.9
2024-01-15 12:00:00,12,1261.9,1.5
2024-01-15 13:00:00,13,2326.8,1.8
2024-01-15 14:00:00,14,3054.8,2.3
2024-01-15 15:00:00,15,3030.0,2.6
2024-01-15 16:00:00,16,3527.6,2.5
2024-01-15 17:00:00,17,3382.9,2.1
