datetime_utc,hora,rad_kJm2,vento_ms
2025-01-01 00:00:00,0,,
2025-01-01 01:00:00,1,,
2025-01-01 02:00:00,2,,
2025-01-01 03:00:00,3,,
2025-01-01 04:00:00,4,,
2025-01-01 05:00:00,5,,
2025-01-01 06:00:00,6,,
2025-01-01 07:00:00,7,,
2025-01-01 08:00:00,8,,
2025-01-01 09:00:00,9,,
2025-01-01 10:00:00,10,,
2025-01-01 11:00:00,11,,
2025-01-01 12:00:00,12,2045.7,4.4
2025-01-01 13:00:00,13,2541.2,2.7
2025-01-01 14:00:00,14,2167.9,3.9
2025-01-01 15:00:00,15,3276.5,4.7
2025-01-01 16:00:00,16,1745.5,2.1
2025-01-01 17:00:00,17,2018.9,4.9
2025-01-01 18:00:00,18,1905.6,5.0
2025-01-01 19:00:00,19,1270.1,5.5
2025-01-01 20:00:00,20,846.1,5.4
2025-01-01 21:00:00,21,106.2,3.0
2025-01-01 22:00:00,22,,3.1
2025-01-01 23:00:00,23,,2.7
2025-01-02 00:00:00,0,,5.0
2025-01-02 01:00:00,1,,2.4
2025-01-02 02:00:00,2,,2.4
2025-01-02 03:00:00,3,,1.2
2025-01-02 04:00:00,4,,0.8
2025-01-02 05:00:00,5,,0.0
2025-01-02 06:00:00,6,,0.0
2025-01-02 07:00:00,7,,0.1
2025-01-02 08:00:00,8,,0.0
2025-01-02 09:00:00,9,86.6,0.4
2025-01-02 10:00:00,10,693.7,2.7
2025-01-02 11:00:00,11,1471.3,4.0
2025-01-02 12:00:00,12,2241.7,4.3
2025-01-02 13:00:00,13,2243.4,4.1
2025-01-02 14:00:00,14,2159.6,3.4
2025-01-02 15:00:00,15,1969.5,2.4
2025-01-02 16:00:00,16,1882.3,2.6
2025-01-02 17:00:00,17,1628.7,2.2
2025-01-02 18:00:00,18,1528.6,6.1
2025-01-02 19:00:00,19,1861.2,6.3
2025-01-02 20:00:00,20,683.4,5.2
2025-01-02 21:00:00,21,111.4,4.9
2025-01-02 22:00:00,22,,2.1
2025-01-02 23:00:00,23,,
2025-01-03 00:00:00,0,,4.8
2025-01-03 01:00:00,1,,3.0
2025-01-03 02:00:00,2,,1.8
2025-01-03 03:00:00,3,,2.4
2025-01-03 04:00:00,4,,1.1
2025-01-03 05:00:00,5,,0.0
2025-01-03 06:00:00,6,,0.3
2025-01-03 07:00:00,7,,0.1
2025-01-03 08:00:00,8,,0.0
2025-01-03 09:00:00,9,88.2,0.0
