datetime_utc,hora,rad_kJm2,vento_ms
2024-01-01 00:00:00,0,,2.5
2024-01-01 01:00:00,1,,2.5
2024-01-01 02:00:00,2,,3.0
2024-01-01 03:00:00,3,,2.8
2024-01-01 04:00:00,4,,2.7
2024-01-01 05:00:00,5,,1.5
2024-01-01 06:00:00,6,,1.3
2024-01-01 07:00:00,7,,1.2
2024-01-01 08:00:00,8,,1.2
2024-01-01 09:00:00,9,63.9,1.0
2024-01-01 10:00:00,10,682.5,2.0
2024-01-01 11:00:00,11,1480.0,3.2
2024-01-01 12:00:00,12,2163.8,3.0
2024-01-01 13:00:00,13,2595.1,3.8
2024-01-01 14:00:00,14,2826.2,3.5
2024-01-01 15:00:00,15,2930.3,2.6
2024-01-01 16:00:00,16,2971.1,2.3
2024-01-01 17:00:00,17,2703.1,2.1
2024-01-01 18:00:00,18,2244.1,2.2
2024-01-01 19:00:00,19,1591.2,1.6
2024-01-01 20:00:00,20,872.3,2.6
2024-01-01 21:00:00,21,192.6,3.6
2024-01-01 22:00:00,22,,4.3
2024-01-01 23:00:00,23,,3.6
2024-01-02 00:00:00,0,,3.7
2024-01-02 01:00:00,1,,3.6
2024-01-02 02:00:00,2,,2.9
2024-01-02 03:00:00,3,,2.5
2024-01-02 04:00:00,4,,2.5
2024-01-02 05:00:00,5,,2.2
2024-01-02 06:00:00,6,,1.4
2024-01-02 07:00:00,7,,1.4
2024-01-02 08:00:00,8,,1.0
2024-01-02 09:00:00,9,38.2,1.8
2024-01-02 10:00:00,10,525.5,1.9
2024-01-02 11:00:00,11,1438.0,1.9
2024-01-02 12:00:00,12,2208.9,3.2
2024-01-02 13:00:00,13,2608.4,1.6
2024-01-02 14:00:00,14,1737.9,1.2
2024-01-02 15:00:00,15,2800.8,2.0
2024-01-02 16:00:00,16,2591.5,2.0
2024-01-02 17:00:00,17,2067.9,3.6
2024-01-02 18:00:00,18,2005.7,3.0
2024-01-02 19:00:00,19,1532.5,3.7
2024-01-02 20:00:00,20,801.8,4.1
2024-01-02 21:00:00,21,118.2,4.1
2024-01-02 22:00:00,22,,4.3
2024-01-02 23:00:00,23,,4.5
2024-01-03 00:00:00,0,,4.3
2024-01-03 01:00:00,1,,4.3
2024-01-03 02:00:00,2,,4.1
2024-01-03 03:00:00,3,,3.9
2024-01-03 04:00:00,4,,3.3
2024-01-03 05:00:00,5,,2.7
2024-01-03 06:00:00,6,,3.4
2024-01-03 07:00:00,7,,3.3
2024-01-03 08:00:00,8,,1.9
2024-01-03 09:00:00,9,70.2,2.1
2024-01-03 10:00:00,10,589.9,3.7
2024-01-03 11:00:00,11,822.4,2.8
2024-01-03 12:00:00,12,1940.6,3.8
2024-01-03 13:00:00,13,2441.3,4.0
2024-01-03 14:00:00,14,2677.8,4.9
2024-01-03 15:00:00,15,2655.9,4.8
2024-01-03 16:00:00,16,2903.7,5.6
2024-01-03 17:00:00,17,2658.4,5.4
2024-01-03 18:00:00,18,2198.8,5.5
2024-01-03 19:00:00,19,1555.5,4.9
2024-01-03 20:00:00,20,856.1,5.0
2024-01-03 21:00:00,21,72.4,4.5
2024-01-03 22:00:00,22,,3.6
2024-01-03 23:00:00,23,,3.8
2024-01-04 00:00:00,0,,3.5
2024-01-04 01:00:00,1,,3.4
2024-01-04 02:00:00,2,,3.4
2024-01-04 03:00:00,3,,3.3
2024-01-04 04:00:00,4,,2.6
2024-01-04 05:00:00,5,,3.6
2024-01-04 06:00:00,6,,3.5
2024-01-04 07:00:00,7,,2.3
2024-01-04 08:00:00,8,,3.4
2024-01-04 09:00:00,9,90.0,3.0
2024-01-04 10:00:00,10,660.9,3.6
2024-01-04 11:00:00,11,1602.2,4.6
2024-01-04 12:00:00,12,1947.4,4.1
2024-01-04 13:00:00,13,2541.5,4.5
2024-01-04 14:00:00,14,3002.4,4.7
2024-01-04 15:00:00,15,2893.7,5.0
2024-01-04 16:00:00,16,2938.9,5.1
2024-01-04 17:00:00,17,2685.7,4.6
2024-01-04 18:00:00,18,2201.8,5.2
2024-01-04 19:00:00,19,1562.6,5.3
2024-01-04 20:00:00,20,857.5,4.8
2024-01-04 21:00:00,21,168.8,4.7
2024-01-04 22:00:00,22,,4.9
2024-01-04 23:00:00,23,,4.6
2024-01-05 00:00:00,0,,4.8
2024-01-05 01:00:00,1,,4.4
2024-01-05 02:00:00,2,,4.3
2024-01-05 03:00:00,3,,4.6
2024-01-05 04:00:00,4,,4.5
2024-01-05 05:00:00,5,,3.0
2024-01-05 06:00:00,6,,2.9
2024-01-05 07:00:00,7,,2.4
2024-01-05 08:00:00,8,,2.2
2024-01-05 09:00:00,9,109.1,2.3
2024-01-05 10:00:00,10,747.6,3.3
2024-01-05 11:00:00,11,1508.2,3.3
2024-01-05 12:00:00,12,1882.1,3.4
2024-01-05 13:00:00,13,2559.5,3.9
2024-01-05 14:00:00,14,2639.9,4.3
2024-01-05 15:00:00,15,2945.7,4.7
2024-01-05 16:00:00,16,2911.0,4.9
2024-01-05 17:00:00,17,2697.8,5.3
2024-01-05 18:00:00,18,1985.8,5.1
2024-01-05 19:00:00,19,1403.7,5.2
2024-01-05 20:00:00,20,646.0,4.9
2024-01-05 21:00:00,21,119.4,4.3
2024-01-05 22:00:00,22,,4.5
2024-01-05 23:00:00,23,,4.3
2024-01-06 00:00:00,0,,3.9
2024-01-06 01:00:00,1,,3.9
2024-01-06 02:00:00,2,,4.6
2024-01-06 03:00:00,3,,4.3
2024-01-06 04:00:00,4,,3.8
2024-01-06 05:00:00,5,,3.9
2024-01-06 06:00:00,6,,3.8
2024-01-06 07:00:00,7,,2.5
2024-01-06 08:00:00,8,,2.4
2024-01-06 09:00:00,9,96.9,3.0
2024-01-06 10:00:00,10,584.9,2.8
2024-01-06 11:00:00,11,1262.5,3.8
2024-01-06 12:00:00,12,2221.9,4.4
2024-01-06 13:00:00,13,2630.5,4.7
2024-01-06 14:00:00,14,2845.6,5.0
2024-01-06 15:00:00,15,2946.3,5.0
2024-01-06 16:00:00,16,2972.9,5.2
2024-01-06 17:00:00,17,2736.9,5.5
2024-01-06 18:00:00,18,2219.8,5.2
2024-01-06 19:00:00,19,1571.7,4.8
2024-01-06 20:00:00,20,799.2,4.1
2024-01-06 21:00:00,21,176.1,3.9
2024-01-06 22:00:00,22,,3.4
2024-01-06 23:00:00,23,,3.5
2024-01-07 00:00:00,0,,3.8
2024-01-07 01:00:00,1,,4.0
2024-01-07 02:00:00,2,,3.3
2024-01-07 03:00:00,3,,3.4
2024-01-07 04:00:00,4,,2.9
2024-01-07 05:00:00,5,,3.5
2024-01-07 06:00:00,6,,1.7
2024-01-07 07:00:00,7,,2.8
2024-01-07 08:00:00,8,,2.4
2024-01-07 09:00:00,9,47.1,2.0
2024-01-07 10:00:00,10,620.0,2.6
2024-01-07 11:00:00,11,1529.4,3.9
2024-01-07 12:00:00,12,2176.5,3.7
2024-01-07 13:00:00,13,2623.6,4.1
2024-01-07 14:00:00,14,2891.9,4.2
2024-01-07 15:00:00,15,2952.1,4.6
2024-01-07 16:00:00,16,3024.0,4.2
2024-01-07 17:00:00,17,2784.4,4.6
2024-01-07 18:00:00,18,2288.9,4.6
2024-01-07 19:00:00,19,1647.5,4.2
2024-01-07 20:00:00,20,942.7,3.0
2024-01-07 21:00:00,21,183.2,2.9
2024-01-07 22:00:00,22,,3.5
2024-01-07 23:00:00,23,,3.6
2024-01-08 00:00:00,0,,3.8
2024-01-08 01:00:00,1,,3.6
2024-01-08 02:00:00,2,,3.0
2024-01-08 03:00:00,3,,3.2
2024-01-08 04:00:00,4,,2.7
2024-01-08 05:00:00,5,,2.0
2024-01-08 06:00:00,6,,1.8
2024-01-08 07:00:00,7,,1.3
2024-01-08 08:00:00,8,,1.7
2024-01-08 09:00:00,9,68.5,1.3
2024-01-08 10:00:00,10,458.9,1.5
2024-01-08 11:00:00,11,1521.9,2.7
2024-01-08 12:00:00,12,2176.4,3.4
2024-01-08 13:00:00,13,2610.9,3.5
2024-01-08 14:00:00,14,2854.7,3.7
2024-01-08 15:00:00,15,2894.7,1.5
2024-01-08 16:00:00,16,2440.7,1.5
2024-01-08 17:00:00,17,2427.5,2.0
2024-01-08 18:00:00,18,1723.4,1.8
2024-01-08 19:00:00,19,823.0,2.2
2024-01-08 20:00:00,20,750.5,1.3
2024-01-08 21:00:00,21,138.5,1.2
2024-01-08 22:00:00,22,,1.4
2024-01-08 23:00:00,23,,3.8
2024-01-09 00:00:00,0,,3.5
2024-01-09 01:00:00,1,,3.4
2024-01-09 02:00:00,2,,2.8
2024-01-09 03:00:00,3,,2.7
2024-01-09 04:00:00,4,,2.5
2024-01-09 05:00:00,5,,2.0
2024-01-09 06:00:00,6,,1.8
2024-01-09 07:00:00,7,,1.5
2024-01-09 08:00:00,8,,1.5
2024-01-09 09:00:00,9,27.3,2.1
2024-01-09 10:00:00,10,299.9,2.4
2024-01-09 11:00:00,11,788.1,2.7
2024-01-09 12:00:00,12,1567.1,3.1
2024-01-09 13:00:00,13,2027.6,2.9
2024-01-09 14:00:00,14,2672.6,4.4
2024-01-09 15:00:00,15,2825.6,2.9
2024-01-09 16:00:00,16,2921.4,3.7
2024-01-09 17:00:00,17,2239.1,3.2
2024-01-09 18:00:00,18,1572.9,1.9
2024-01-09 19:00:00,19,1000.1,1.6
2024-01-09 20:00:00,20,262.8,2.5
2024-01-09 21:00:00,21,84.0,1.6
2024-01-09 22:00:00,22,,1.7
2024-01-09 23:00:00,23,,1.3
2024-01-10 00:00:00,0,,0.9
2024-01-10 01:00:00,1,,1.8
2024-01-10 02:00:00,2,,2.0
2024-01-10 03:00:00,3,,2.2
2024-01-10 04:00:00,4,,1.4
2024-01-10 05:00:00,5,,1.8
2024-01-10 06:00:00,6,,2.4
2024-01-10 07:00:00,7,,2.7
2024-01-10 08:00:00,8,,2.0
2024-01-10 09:00:00,9,11.9,2.2
2024-01-10 10:00:00,10,245.6,1.7
2024-01-10 11:00:00,11,748.8,2.5
2024-01-10 12:00:00,12,1402.6,2.6
2024-01-10 13:00:00,13,1852.0,2.9
2024-01-10 14:00:00,14,1611.4,2.9
2024-01-10 15:00:00,15,1669.4,2.6
2024-01-10 16:00:00,16,2266.6,2.9
2024-01-10 17:00:00,17,2915.5,3.2
2024-01-10 18:00:00,18,2255.3,2.9
2024-01-10 19:00:00,19,1550.4,2.8
2024-01-10 20:00:00,20,761.0,2.4
2024-01-10 21:00:00,21,124.7,3.8
2024-01-10 22:00:00,22,,2.9
2024-01-10 23:00:00,23,,2.8
2024-01-11 00:00:00,0,3.7,3.2
2024-01-11 01:00:00,1,,4.8
2024-01-11 02:00:00,2,,3.7
2024-01-11 03:00:00,3,,2.7
2024-01-11 04:00:00,4,,2.6
2024-01-11 05:00:00,5,,1.5
2024-01-11 06:00:00,6,,1.4
2024-01-11 07:00:00,7,,1.9
2024-01-11 08:00:00,8,,1.3
2024-01-11 09:00:00,9,20.1,2.8
2024-01-11 10:00:00,10,200.3,2.0
2024-01-11 11:00:00,11,1101.6,2.9
2024-01-11 12:00:00,12,1041.1,1.5
2024-01-11 13:00:00,13,1130.1,1.4
2024-01-11 14:00:00,14,1982.5,2.3
2024-01-11 15:00:00,15,2816.7,3.8
2024-01-11 16:00:00,16,3055.3,3.3
2024-01-11 17:00:00,17,2370.9,1.9
2024-01-11 18:00:00,18,2046.7,3.5
2024-01-11 19:00:00,19,1387.6,3.8
2024-01-11 20:00:00,20,956.4,3.6
2024-01-11 21:00:00,21,234.9,3.2
2024-01-11 22:00:00,22,,2.9
2024-01-11 23:00:00,23,,3.2
2024-01-12 00:00:00,0,,3.4
2024-01-12 01:00:00,1,,3.1
2024-01-12 02:00:00,2,,1.8
2024-01-12 03:00:00,3,,2.7
2024-01-12 04:00:00,4,,1.6
2024-01-12 05:00:00,5,,1.5
2024-01-12 06:00:00,6,,0.6
2024-01-12 07:00:00,7,,0.5
2024-01-12 08:00:00,8,,1.1
2024-01-12 09:00:00,9,39.2,1.0
