alvo,modelo,busca,best_params,holdout_r2,holdout_mae,holdout_rmse,kfold_r2_mean,kfold_r2_std,kfold_mae_mean,kfold_rmse_mean,loo_r2,loo_mae,loo_rmse
SOLAR_IRRAD,KNN,grid,"{""n_neighbors"": 9, ""p"": 1, ""weights"": ""uniform""}",-0.1662,0.6159,0.8448,0.0195,0.1969,0.5779,0.7623,0.0962,0.5569,0.7762
SOLAR_IRRAD,DecisionTree,grid,"{""max_depth"": 3, ""min_samples_split"": 10}",-0.6311,0.7642,0.9991,-0.231,0.2987,0.6707,0.855,-0.0792,0.6495,0.8482
SOLAR_IRRAD,RandomForest,grid,"{""max_depth"": 5, ""n_estimators"": 100}",-0.302,0.6632,0.8927,0.0313,0.1893,0.5861,0.762,0.0496,0.5986,0.796
SOLAR_IRRAD,AdaBoost,grid,"{""learning_rate"": 0.01, ""n_estimators"": 200}",-0.4022,0.7012,0.9264,0.0229,0.2721,0.6011,0.7645,0.0606,0.6016,0.7914
SOLAR_IRRAD,MLP,random,"{""hidden_layer_sizes"": [128, 64, 32], ""alpha"": 0.1, ""activation"": ""tanh""}",-0.0344,0.5824,0.7957,-0.2146,0.1429,0.6541,0.853,-0.1295,0.6349,0.8677
WIND_SPEED,KNN,grid,"{""n_neighbors"": 11, ""p"": 2, ""weights"": ""uniform""}",0.0953,0.5527,0.6938,0.0261,0.4462,0.5959,0.7879,0.1882,0.5812,0.8433
WIND_SPEED,DecisionTree,grid,"{""max_depth"": 3, ""min_samples_split"": 5}",-3.036,0.9553,1.4653,-0.3099,0.8079,0.6407,0.8919,0.0202,0.6061,0.9265
WIND_SPEED,RandomForest,grid,"{""max_depth"": 5, ""n_estimators"": 500}",-0.0819,0.6115,0.7587,-0.1066,0.5251,0.6246,0.8201,0.2399,0.5751,0.816
WIND_SPEED,AdaBoost,grid,"{""learning_rate"": 0.01, ""n_estimators"": 100}",-0.2063,0.6356,0.8011,-0.0524,0.3332,0.6288,0.8275,0.1523,0.6014,0.8617
WIND_SPEED,MLP,random,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.1, ""activation"": ""tanh""}",0.1097,0.5352,0.6882,-0.0542,0.3171,0.6176,0.8276,0.1167,0.6254,0.8796
IP_NE,KNN,grid,"{""n_neighbors"": 9, ""p"": 1, ""weights"": ""uniform""}",-0.0617,0.1116,0.1517,0.0272,0.1689,0.1197,0.1575,0.1289,0.1162,0.1603
IP_NE,DecisionTree,grid,"{""max_depth"": 3, ""min_samples_split"": 2}",-0.8069,0.1631,0.1979,-0.1748,0.4062,0.1355,0.1717,-0.1012,0.1362,0.1802
IP_NE,RandomForest,grid,"{""max_depth"": 10, ""n_estimators"": 500}",-0.2572,0.1238,0.1651,0.0185,0.1528,0.1215,0.158,0.135,0.1208,0.1597
IP_NE,AdaBoost,grid,"{""learning_rate"": 0.1, ""n_estimators"": 100}",-0.4141,0.142,0.1751,0.0337,0.2199,0.1243,0.1585,0.0657,0.127,0.166
IP_NE,MLP,random,"{""hidden_layer_sizes"": [128, 64, 32], ""alpha"": 0.1, ""activation"": ""tanh""}",0.2181,0.0894,0.1302,-0.4141,0.4334,0.1472,0.189,-0.1346,0.1398,0.1829
