alvo,modelo,busca,best_params,holdout_r2,holdout_mae,holdout_rmse,kfold_r2_mean,kfold_r2_std,kfold_mae_mean,kfold_rmse_mean,group_r2
SOLAR_IRRAD,KNN,grid,"{""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",0.6547,0.4449,0.6225,0.6198,0.0392,0.4466,0.6237,0.2634
SOLAR_IRRAD,DecisionTree,grid,"{""max_depth"": null, ""min_samples_split"": 2}",0.6696,0.3882,0.6089,0.662,0.1701,0.3785,0.5749,-0.197
SOLAR_IRRAD,RandomForest,grid,"{""max_depth"": null, ""n_estimators"": 100}",0.834,0.2869,0.4316,0.8225,0.0217,0.2935,0.4255,0.2521
SOLAR_IRRAD,AdaBoost,grid,"{""learning_rate"": 0.1, ""n_estimators"": 100}",0.3309,0.6596,0.8665,0.3068,0.0483,0.6514,0.8423,0.1993
SOLAR_IRRAD,MLP,random,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""activation"": ""relu""}",0.4181,0.6015,0.8081,0.4321,0.0748,0.5533,0.7617,0.2543
WIND_SPEED,KNN,grid,"{""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",0.4835,0.503,0.6565,0.5608,0.0677,0.4719,0.6325,0.0678
WIND_SPEED,DecisionTree,grid,"{""max_depth"": null, ""min_samples_split"": 2}",0.8583,0.2501,0.3438,0.8715,0.031,0.2398,0.3387,-0.2197
WIND_SPEED,RandomForest,grid,"{""max_depth"": null, ""n_estimators"": 100}",0.9096,0.2086,0.2747,0.919,0.0156,0.1981,0.2708,0.1681
WIND_SPEED,AdaBoost,grid,"{""learning_rate"": 0.1, ""n_estimators"": 100}",0.3919,0.5583,0.7123,0.3884,0.0931,0.5947,0.7438,0.1898
WIND_SPEED,MLP,random,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""activation"": ""relu""}",0.4824,0.5046,0.6572,0.4941,0.1024,0.5199,0.6781,0.2228
IP_NE,KNN,grid,"{""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",0.6763,0.0625,0.0827,0.6414,0.0427,0.063,0.0846,0.2727
IP_NE,DecisionTree,grid,"{""max_depth"": null, ""min_samples_split"": 2}",0.7191,0.0511,0.0771,0.7659,0.0603,0.0469,0.0678,-0.0339
IP_NE,RandomForest,grid,"{""max_depth"": null, ""n_estimators"": 100}",0.8584,0.0393,0.0547,0.8514,0.024,0.0392,0.0543,0.3283
IP_NE,AdaBoost,grid,"{""learning_rate"": 0.1, ""n_estimators"": 100}",0.3736,0.0912,0.1151,0.3401,0.0594,0.0902,0.1147,0.2425
IP_NE,MLP,random,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""activation"": ""relu""}",0.6357,0.0661,0.0877,0.5433,0.0843,0.0711,0.0952,0.2784
